sentence,label
kalo mau makan di tempat enggak perlu antre di kasir kita urutan dari meja yang kita pilih lalu pilih menu lewat situs web mereka dan bayar dengan metode pembayaran yang kita mau tempatnya enak bersih dan sejuk kena angin karena tempatnya terbuka banget rasa mienya juga lebih pedas dari yang di skn,neutral
temptnya adem tidak panas penyajian makanannya juga yang terbaik dari cabang lain,positive
kecewa banget sama nasi bakso bbq panas menurut saya harga dan isinya enggak bernilai itu buangett sudah bakso nya kuecil kecil saos bbq nya duikit parah banget deh kedepannya tolong diperbaiki dong kalo memang bakso nya dikit senggaknya saos nya kasih banyak biar kita pelanggan agak puas,negative
maaf banget pelayanannya buruk masa pembayaran cuma boleh pakai qris enggak bisa tunai lagi sekarang akhirnya saya kelabakan cari tempat topup dulu bisa tunai loh padahal asli sih saya kecewa banget harusnya kalian paham kalo pedagang tidak boleh menolak pembayaran uang tunai saya paham mungkin pikirannya ingin praktis gaperlu mengasih kembalian segala macam tapi resiko namanya orang jualan mau enggak mau harus menyediakan pelayanan pembayaran tunai ini juga sudah di atur oleh bank indonesia untuk tidak menolak pembayaran secara tunai mohon untuk di revisi kebijakan penjualannya terima kasih,neutral
enak sih rame,positive
tempatnya nyaman pancongnya juga enak,positive
pesan dcream gadarasa nya cuma kopi doang enggak kayak kemarin gadikasih susu kah mana beli di shopefood enggak ada kasih sedotan di kiri minumnya pakai selang,negative
resto lemot sekali ojol bukan prioritas mosok resto apk e enggak onok,neutral
tempatnya bagus harganya murah makanannya enak,positive
tempat nya bersih rapi pegawai nya juga ramah makanan nya murah meriah rekomen banget,neutral
ah padahal ini cabang langganan dari dulu eh dibikin kecewa sama cabang ini kemarin kita tau ini posisi ramai kita halus halus saja ketika kasir bilang alat makan habis dan menggunakan sterefoam oke kita gapapa dan katanya mau sistem dipangil nama ini posisi sudah hampir jam malam kita duduklah dudukpun kita ngebersihin sendiri tuh meja tanpa bantuan staf kita gapapa kok menit berlalu panggilan staf didepan cuma dengar menit pertama selanjutnya sunya dan banyak tiba tiba orang atri di meja mempersiapkan kita masih bersabar nih oh mungkin belum kita tunggu akhirnya kita sudah capek nih ke grombolan orang orang inilah aku tanya lagi nih sama sih staf cewek aku tandain kamu ya mbak aku tanya dengan baik baik kak ini jadinya sistemnya dipanggil atau antri disini ya eh dicuekin dia buang muka sampai orang belakang senyum lihat aku yang dicuekin itu bikin malu ya mbak kalo memang kalian capek atau sudah over bilang saja plis enggak usah bikin pelanggan berharap akhirnya aku pindah tanya staf baju marron di pelari bar katanya oh iya kak ini dipanggil kok oh oke deh dipanggil menit kemudian enggak ada tuh suara staf manggil gamungkin dong dengan kondisi kayak begitu enggak ada makanan keluar eh tau enggak kalian ada nih rombongan baru datang dia bawah nomer meja galama enggak sampai menit pesenan mereka sudah keluar langsung lah kita sudah mulai kehilangan kesabaran akhirnya ke mbak baju marun tadi katanya kalo pesanan kita belum diproses minumannya saja belum keluar wih muntab deh kita akhirnya kita iklasin tuh pesenan yang sudah kita bayar tanpa menerima pesenan kita satupun kita sudah komplain kayak tamu komentar yang ada di nota enggak ada respon ini kejadian tanggal maret sampai dengan hari ini enggak ada respon dari pihak gacoan bisa jadi itu terakhir kalinya kita akan menikmati gacoan,neutral
pelayanan lama sangat merugikan terutama buat ojol mohon di perbaiki,neutral
makanan khas banyuwangi yang menurut saya enak sayang sekali tempat terbatas terlebih lagi ada sekumpulan pengamen yang menggunakan sebagian tempat makan untuk melakukan aksi besok lagi kalau mengamen mending diluar deh,positive
tempatnya bersih layanannya juga ramah,neutral
pentolnya terlalu asin kalau bisa ada baki nya jadi kalau bawa mangkok enggak kepanasan terimakasih,negative
tempat nya nyaman bersih pelayanan nya ramah,neutral
barusan aku mampir ke kopi studio di suhat malang dan serius deh rasanya luar biasa aku pesan pancong dan es choco cookies rasa pancongnya dapat banget dan es choco cookies tuh juara suasananya juga nyaman banget tempatnya juga bersih dan nyaman buat kerja ngerjain tugas kuliah atau nongkrong bareng teman teman rekomendasi banget deh buat yang lagi cari tempat asik buat ngopi atau ngerjain tugas,positive
pelayanan kasir buruk kesana pesan makan enggak beli minum kayak dikira enggak mampu beli masih ambil nasi saja di memperlihatkan takut ngambil banyak woyy lah kalo enggak mau diambil banyak ya mengambil sendiri bikin makan jadi enggak nyaman,negative
tempat yang cocok untuk mengerjakan tugas secara produktif karena tersedia colokan listrik wi di meja dan kursi yang nyaman,neutral
pelayanan di sini sangat bagus suasana enak makanannya juga enak dan rasanya pas,positive
ini dompet mahasiswa berable cookies dan creaam nya enakk es creamnya enakk banget api sayang tempatnya sepertinya perlu di tingkatkan lagi terutama penemparan tempat sampah yang ada didepan terimakasii,positive
makanan enak murah banget bernilai itu banget buat mahasiswa yang bulanan nya seret sambelnya pedas juga,positive
untuk pelayanannya sudah oke hanya saja untuk makanannya terutama mie dan pangsitnya terlalu berminyak,negative
karyawan judes sudah x mengomong sambel dipisah tapi tetap digeprek sama ayam lebih teliti lagi kalo ada pesanan,negative
lokasinya di pinggir jalan pas ada parkiran motornya bayar dulu langganan banget beli ayam di sini karena dekat kosan bisa jalan kaki masih ingat paket yang murah banget harganya ribuan sekarang sudah lama enggak beli rasanya jadi enggak kayak dulu lagi,negative
jarang pesan luring seringnya pakai shopeefood yang favorit adalah mie gacoan lumpia udang es th kalau mau nyemek harus permintaan dulu sebelum pencet urutan di shopeefood biar enggak dapat mie yang kering kerontang,negative
suasana tempat lokasi sempurna banget cumaa jangan berharap banyak soal rasa andai rasa nasi tempongnya lebih masuk pasti ini tempat akan lama tapi jika masih seperti ini enggak lama,negative
pedas menunya macam macam,neutral
terlalu pedass,negative
kafe nya mantap banget enak buat nugas terlebih minum dan makanannya cocok buat kaum mahasiswa kopi ada krim nya joss,positive
sangat disayangkan berbeda dengan geprek kak mawar di dinoyo tempat cuci tangan kurang sip kurang leluasa untuk menggosok tangan nasi enggak bisa ambil sesuka kita dan bayar parkir,negative
layanan pesenan lama sekali sudah ditunggu menit lebih belum jadi juga sudah ditanyakan berkali kali bilangnya cuma sebentar ya peringkat di google peta bagus karena kalo kasih bintang dapat es krim padahal layanan acak acakan tolong berbenah,neutral
gwendeng gwendeng beli gacoan di shopeefood buat sarapan bisa bisanya mienya itu mie enggak mateng mana lagi rasanya hambar beli gacoan tingkat sama sama sama enggak mateng dan yang pedas juga hambar cuma pedas doang silahkan dong diperbaiki jangan ngecewain kita makan gacoan di tempatmu kerja juga bayar enggak modal gratisan,negative
pelayanannya lama banget sudah pesan tapi yang didahuluin yang baru datang padahal pesennya duluan,neutral
tempat nya sangat nyaman pelayanannya ramah,neutral
tempat nya enak buat ngumpul sama teman dan kopinya enak,positive
tempat bersih dan nyaman pelayanan ramah westafel juga bersih sabun cuci selalu di isi penuh dan jaringan tangan nya di isi penuh mantap,neutral
pelayanan ramah tempat nyaman dan bersih wifi kencang ada mushola dan bersih konsepnya bagus monokrom rasanya enakk dagiing banget kuahnya mantab jangkauan harga mulai dari mending beli paketan lebih murah bisa pemesanan untuk rapat disini nyamann deh,positive
seng jual lelet asw jadi enggak saur aku gara gara menunggu,neutral
kopinya enak dan murah bernilai itu,positive
saya rasa menu makanan minumannya yang tersedia enak selain menu minuman kopi dan teman nya juga ada kue pancong yang manis dengan taburan aneka topping ada juga bakso dengan pilihan bakso keju halusan kasaran bakso mercon dll tersedia lantai dasar dan lantai atas,positive
bakso nya masih mentah dalamnya kejunya enggak semelimpah iklan sama sekali enggak moncrot enggak molor harganya mahal enggak bernilai itu karena makanannya kurang enak mending beli di bakso warung lain yang harga nya lebih murah dapat nya lebih banyak dan lebih enak tempatnya kurang bersih mangkok dan alat makan tidak di cuci bersih harus benar benar pilih yang bersih lalu dilap sendiri pakai jaringan di setiap meja juga tidak ada jaringan,negative
layanannya keseluruhan bagus ayamnya enak pancong juga favorit,positive
pelayanannya cepat terthe terbaik cabang gacoan di malang,neutral
tempat makan enak dan murah yang ada di malang kota cocok buat mahasiswa,positive
karyawan kebanyakan bercandaa tahu dingin dan jarang readyy,neutral
pelayanan nya oke cepat dan gesit makanan nya enak banget ada krim disini favorit sih,positive
pelayanannya bagus tempatnya nyaman untuk nugas,neutral
suka banget sama tempatnya yang luas tersedia mushola terus jam juga jadi bisa datang kapan saja kalau mau nugas atas,neutral
kuahnya enak tipe bening berkaldu bakso nya enak dan bisa ambil sendiri,positive
kesini hampir tengah malam pelayan yang di meja kasir ramah dan mau menjawab pertanyaan ketika ditanya oleh pelanggan hehe kemarin pesan ayam goang korea ayam es th kerupuk habis rban nasinya sama es th ambil sendiri sepuasnya beberapa bulan lalu untuk sambel kremes sama bumbu bisa ambil sendiri juga tapi kemarin sudah jadi satu sama piring dan ayam karena buka dapur jadi mungkin bau asepnya agak menempel ya di baju wkwkwk tapi itu si oke tidak masalah parkir lumayan luas dan bayar ya,neutral
bakso berasa dagingnya harga terjangkau,positive
lantai tidak boleh di tempat i padahal lantai satu sudah banyak pelanggan yang tidak kebagian tempat duduk,neutral
biasanya makan tempong di bali baru sekarang makan tempong di kota asalnya selain lauk yang digoreng juga ada masakan cumi hitam sayuran rebusnya juga banyak,neutral
mencoba mie pedesnya geprek kak mawar rasanya hampir mirip sama mie pedas kecap umumnya gorengannya juga mirip rasanya tapi cuma dapat terus toppingnya yang ayam itu enggak ada diganti pilus dan mienya kematengan sepertinya harganya lebih murah ya aku enggak tau harga aslinya karena aku beli via ambil menu disarankan lainnya korea pedas ayam,negative
buat rasa bakso enak ya sesuai klaim yang daging banget tapi setelah x beli yang keju lumer baru kali ini dapat yang benar benar lumer mungkin yang perlu di perbaiki sistem buat isi ualang stocking itemmya kalo bisa jangan menunggu benar benar habis baru di stok soalnya kita juga beli kesana pasti yang di cari ya bakso keju mozanya jadinya zonk kalo masih belum siap masih inj itu sedangkan tau peminatnya kesana cari itu lebih mempersiapkan buat mas masnya mungkin bisa di bantu juga buat antrian biar lebih rapi dan efisien buat kasirnya kalo bisa lebih gerak cepat juga karena sudah menunggu lama di antrian ambil bakso di kasirpun antrinya juga panjang buat jalan jadinya susah tempatnya luas tapi kalo kanan kiri antri ya jalan susah kalo bisa kuahnya di bikin lebih panas lagi soalnya kalo baso moza enggak kayak moza dapetnya keju potong sambelnya juga kalo bisa lebih di bikin pedas karena kurang pedas buat sambelnya,negative
pelayanannya kurang ibu ibu nya kurang fokus beli malah dilayanin porsi lauk atinya terlalu asiin,negative
pancongnya enak pakai banget,positive
suasananya enak sih cuma ini tempat duduk yang di samping tempat parkir enggak nyaman banget bau selokan,negative
harga sesuai rasa hha,positive
pelayanan bagus banget pelayan nya ganteng ganteng gemas,neutral
astaga mie dingin dikasihkan sudah gabung jadi satu ini mie,negative
pelayanan bagus kariawan sopan seperti di indomaret wkw,neutral
saya beli di gojek mie gacoan tingkat porsi rasanya sangat mengecewakan masa yang rasanya hambar dan cuma kecap doang dan nya lagi cabe sambal nya tidak tercampur sama mie nya mana rasanya hambar juga tolong di perbaiki kualitas makanan nya supaya seperti mie gacoan cabang lainnya yang sangat enak rasanya,negative
tempat luas pelayanan nya ramah,neutral
kalau ayam renyah sudah mau habis mohon segera masak lagi jangan kalau sudah habis baru masak lagi diperhatikan lebih seksama lagi kasihan yang menunggu lama,neutral
tempatnya nyaman tapi kipasnya mati yang pojok atas,neutral
kemarin kali beli thai teh rasanya hambar padahal pas awal buka beli rasanya enak sekarang jadi tidak enak mungkin karena ramai terus takarannya jadi asal saya juga kerja di fnb tapi tidak seperti ini mohon karyawan lebih dipantau soal konsistensi rasa bukan asal jadi sudah menunggu lama rasanya hambar rugi,negative
ya lumayan,neutral
pelayanannya bagus tempatnya nyaman dan untuk menunya banyak pilihannya,neutral
ada tukang parkirnya aku beli geprek renyah sambel bawang nasi sama sambel korek ayam geprek nya biasa saja sambel bawang enak cuma masih besar cabe sama bawangnya jadi aga bagaimana begitu sambel koreknya juga begitu cabenya masih besar mungkin kalo bisa sedikit halus lagi sambelnya karena beli dibungkus jadi nasinya enggak ambil sendiri tapi nasinya dikasi banyak tempatnya biasa saja harganya juga masih cukup murah habis sekitar rp,negative
prlayanan baik dan harga sangat anak kos friendlyy berikutnya saran bisa req kurang dari gula,neutral
barusan tadi malam makan ditempat tempat es th nya kayak enggak pernah dicuci pas ambil enggak keliahatan kotor pas tinggal setengh di gelasnya banyak jentik ulet kecil langsung auto muntah enggak sempat foto soalnya buru pulang mual untuk makanannya sebenrnya enak cuma diminumannya kalo kesana saran saja mending udara mineral,negative
pelayanan baik ramah mantap,neutral
sangat baik enak pelayanan mantap,positive
langganan disini anak anak suka dimsumnya enak tapi sayang sekali mengapa setiap tiba selalu kondisinya dimsumnya dingin seumpama hangat pasti lebih nikmat sok jauh sok baik,negative
buat rasa enggak usah ditanya nasi ambil sendiri sama th juga bisa isi ulang suasananya juga enak buat habis makan duduk sambil mengobrol,positive
tempat luas banyak meja enggak perlu kawatir enggak dapat tempat diri layanan makanan sedikit dibawah standart gacoan biasanya rasanya anyep pedesnya b saja dingin ngin nyaman ada indoor outdoor rekomend,negative
sering ke kopstu tapi kecewa sih masak kentang goreng nya masih kayak mentah enggak ada rasa nya lembek kayak enggak niat goreng kecewa banget sih sudah tahunan ke kopstu malah di bikin kecewa,negative
menu dan pelayanannya mantap,positive
tempatnya bersih,neutral
enak si daging nya berasa tapi asin banget sampek setelah makan pusing karena asin sekali sangat disayangkan,negative
makannya enak,positive
tempatnya sangat kotor meja masih ada bekas orang sangat disayangkan,neutral
tempatnya cozyy banget enak buat nugas,positive
selalu suka makan di sinii gepreknya mantap,positive
rasa enak lumayan harga murah saya pesan ayam krispi dan ayam mozarela mozarelanya tidak terlalu membantu rasa justru lengket aneh sambal bawang kurang banyak dan kurang pedas,negative
berdaging dan gurih banget,negative
beli mie gacoan tapi mie nya pucat seperti mie hompimpa rasa dominan pedas tidak ada manis gurih dari kecap level dua serasa level empat tolong diperbaiki lagi setiap beli rasanya beda beda kali saya shopeefood mie gacoan tapi warna mie nya pucat,negative
makanan terfavorit aku enak banget pelayanan nya ramah selalu dijaga juga kebersihan nya oke lah,positive
makanannya enak dan tempatnya nyaman cocok untuk anak kos,positive
tempatnya luas nyaman pelayanan oke ramah mantap,neutral
pelayanan cepat apalagi bebas isi ulang nya membantu banget untuk mahasiswa wkwkwk selalu enakk,positive
parkirnya kecil pantesan bapaknya tanya berapa lama ada kopsut tidak ada ngegas ya bagaimana kopsut kan tempat nugas juga bikin enggak nyaman pindah tempat lain saja,neutral
menunya sangat enak,positive
pelayanan lama bang ee ee manis,neutral
pelayanan cukup baik tempatmya luas dan nyaman jarak antar meja cukup ruang,neutral
celaka menu kosong kenapa di buka di aplikasi gojek jauh jauh datang dan sangat cepat lah kok sampai outlet menu kosong tapi di aplikasi masih buka dodolan carane kok ngene tidak profesional tolong manajemen kalau menu kosong itu di tutup saja,negative
makanannya enak dan murah malam agak rame tapi masih bisa makan di tempat cuma banyak banget pengamennya tiap menit datang mulu tuh pengamen wkwk,positive
menu kosong harusnya jangan tetap dipajang saja membuat orang kecewa saja,negative
rasa enak tempat lebih bersih daripada cabang batu dan dicabang ini lebih nyaman,positive
tempatnya bersih dan nyaman pelayanan ramah dan cepat,neutral
kerjakan itu,neutral
pelayanan lama ojol kasihan menunggu sampai jam tolong di evaluasi lagi terutama kalo bisa tambah karyawan lagi orderan banyak karyawan terbatas suwon,neutral
enak banget bisa tambah nasi dan th sepuasnya cocok untuk anak kos,positive
di foto dan di ulasan orang di sosmed yang bakso kejunyaa banyakk banget sampai lumer pas mencoba beli yang bakso keju mozarella apaan banget kejunya dikitt banget mana enggak ada rasa keju sama sekali lagi saran saja si untuk kedepannya harus sesuaiin sama yang di foto dan di ulasan orang biar enggak kecewa yang belii,negative
rasa minumannya enak dan berasa langganan anak beli minuman disini karena bisa beli satu mendapatkan satu juga dan tempatnya nyaman pelayanan nya ramah,positive
baksonya enak tempatnya juga bersih,positive
menunya variatif dan terjangkau tapi kebersihan daerah makan ini masih sangat miris lantainya berminyak meja enggak langsung dibersihkan banyak piring kotor sisa costumer enggak langsung di bersihkan,neutral
makan geprek kak mawar bisa hemat dana mantap,positive
mantap pelayanan dan rasanya,positive
sejauh ini tempatnya enak luas adem juga rame sih tapi nunggunya enggak lama soalnya karyawan nya gc,positive
rekomendasi banget buat anak anak muda yang mau ngopi dengan harga ramah dikantong dengan menu yang banyak selain itu pegawainya ramah sekali,neutral
pentolnya kress mantap kuah juga oke penuh ngalduu terbaik deh konsisten ya minusnya untuk perbaikan kedepannya mie keduanya kematangan daerah rombong kotor dan lantai kotor selebihnya mantap sukses selalu pengusaha malang,negative
pelayanan kurang banget sih semenjak promo bebas isi ulang pelayannya suka ngegibah ke customernya terutama yang cowonya kebersihannya juga kurang masa bakinya berminyak semua,negative
makanannya enakk cocok buat anak kost karena bisa ambil nasi dan isi ulang minum sepuasnya dengan harga terjangkau,positive
tempatnya enak adem baksonya mantap kak,positive
tempatnyaa nyamann banget pegawainya ramah dan bersih tempatnya,neutral
kuah baksonya ngaldu mie kuah dan sayur bisa refil daging baksonya kerasa rekomendasi,negative
baru konsep dan ini adalah sok sok banyak lebih baik ini my opini tapi untuk produk produk kukusnya kurang panas,negative
murah dan enak pujaan anak kos banget sukses selalu geprek kak ros,positive
bakso dengan tipe kuah yang ku cari selama ini tipe jawa baratan biasanya basko malang sekitar tmp ku ngontrak rasa kuahnya sama dagingnya terasa sesuai harga,positive
sangat bagus dan enak dan banyak dan nyaman dan menarik,positive
tempatnya nyaman dan makanannya enak,positive
biasanya langganan ada gacoan dinoyo iseng coba yang ada sukun malah zonk banget sampai enggak habis mie nya kami tau sebagai cust karyawan nya mungkin sudah capek tapi tolong juga di jaga kualitas rasa mie nya ini yang mau aku keluhin di mie nya itu banyak banget minyak nya sampai takut tenggorokan serik pas lagi mau di makan kita sebagai cust sudah diduga bkaln makan dengan enak dan nyaman ini malah zonk maaf banget,negative
tempatnya nyaman dan enak serta harga terjangkau,positive
lemoot berani dan,neutral
mohon maaf sebelumnya mungkin kakaknya sudah capek atau bagaimana soalnya sudah jam an malam saya habis dari gacoan barusan lalu saya pesan gacoan tingkat tapi yang datang tingkat jadi sekarang perut saya sakit jadi kedepannya lebih ke teliti lagi ya kak terima kasih dan tetap semangat terus pejuang rupiah,negative
gacoan semakin maju dan enakk layanan cepat dan suasana sangat nyaman,positive
makanann nya enakk habis murahh meriah enakk sekali,positive
baksonya terlalu asin kuahnya kurang sedap,negative
layanan nya sangat baik untuk menu nya huga sangat terjangkau suasanan nya sangat nyaman,neutral
enggak tau ya kok sekarang mi nya jadi lembek padahal dulu aku suka yang di sukun mi nya set matang terus pesan tingkat sekarang pedas banget kayak tingkat apa salah menulis ya karena di busa nya tulisannya l,negative
semua kak mawar selalu bintang,neutral
pesan dishoppe datang nya lama banget pas datang makanan sudah dingin rasa nya jadi eneg,negative
seminggu bisa kali kesini hehehe recomen geprek crispynya,positive
tempatnya nyaman dan bersih untuk pelayanan sangat ramah dan cepat juga,neutral
tempat terbaik termurah ternyaman kalau mau santai bareng teman atau relasi dan keluarga servisnya cepat sekali pengunjung juga diedukasi setelah selesai makan nampan diletakkan di tak nampan yang terbaik tempat untuk nongki,neutral
april pukul tidak sopan sekali petugas gacoan stasiun bagian mengemasi orderan ke pengandar tidak menghargai pengandar sama sekali tolong pihak gacoan petugas wanita di belajari atittud belajar menghargai pengandar online,neutral
enak banget geprek nya murah buat anak kos,positive
kurang rekomen di sini beli es coklat yang datang kayak susu teh rasanya bukan es coklat saos juga pesan dikasih,negative
enak gila,positive
cuma sekedar masukan kasirnya bisa enggak sih jangan pasang muka judes mau memang setelan muka nya kayak begitu tapi usahain lah ramahn ke pelanggan,neutral
pelayanannya ramah tempatnya oke pokoknya disarankan bang buat kalian,neutral
sama seperti geprek kak ros lainnya buka jam temoat luas dan maoanan yang disediakan beragam dan murah tetapi ada menu yang setiap saya datang tidak pernah ada,negative
kok bisa sekelas gacoan kayak begini di gigit ada jackpot nya wkw di dalam udang kejunya masa ada kawat cuci piring gila sih untung ke gigit separuh enggak tau deh kalau langsung semua ku hap bagaimana kalau yang makan anak kecil sebagai pecinta udang keju kecewa sih karena setiap makan ke gacoan cabang mana pun pesenya udang keju jadi pikir dua kali kalau pesan udang kejunya pelayanan jutek lagi mohon ya lebih di tingkatkan sudah restonya bagus tapi kualitas dan pelayanannya,negative
dapat rekomendasi dari salah satu blog di internet walaupun sempat di wanti sebelum ke sini baik tempat nya luas memang tempat nya pas di pinggir jalan sayang banget sambel nya kebanyakan micin kayaknya sedap dan asin berlebih porsi memuaskan memang walaupun bukan portugal kalau makan di sini sih cepat pelayanan nya tapi kalau dibungkus bisa lama karena ruame banget kalau makan di sini minumnya pakai es temulawak mantap,negative
pelayanannya ramah cepat murah dan wifi lancar cocok buat nugas juga pokok recomended banget kalau wifi kos lemot selalu nugas disini sambil ngopi bareng teman teman,neutral
layanannya enggak ramah judes terus kasir nya juga dibersihin dong telinganya aku sudah bilang ambil jauh tapi di nota malah ditulis makan ini enggak jelas banget waktu dibenerin juga layanannya masang muka jutek enggak ikhlas terus struknya dibawa dan kembali struk sudah terkena minyak yang menghilangkan tulisan dan barcodenya habis itu ada mas yang mengantarkan makanannya yauda saya bilanglah kalo takeaway dan sudah dibenerin sama mbak nya masnya kembali ke dapur sambil ngibahin wkwkwk enggak ada atitude dan enggak ramah sekali mukanya,neutral
nasi tempong disarankan di banyuwangi kota dengan porsi banyak lauknya pilih sesuai selera sambalnya pedas sekali rasanya enakk yang beli ramai banget dan harganya murah meriah cuma tempatnya kurang kipas angin jadi sumuk berkeringat kalau ke banyuwangi sempatkan mencoba makan nasi tempong disini,positive
pertama kali ke geprek kak mawar sawojajr di buat mual karena nasi yang aromanya hampir basi tekstur nasinya masih bagus tapi aroma nasinya hampir basi ayam juga dingin es th nya juga seperti rasa minuman yang sachetan bukan murni es th tapi jamur krispy nya enak tolong lah di cek lagi,negative
tempat nyaman harga terjangkau rasa enak terdapat ruangan indoor outdoor terdapat toilet nyaman untuk hangout mengerjakan tugas pegawai ramah pengambilan pesanan dilakukan sendiri ramai pengunjung setiap hari nya terdapat makanan berat makanan ringan minuman dengan dasar kopi bukan coffe es krim dan makanan penutup,positive
tempatnya nyaman banget suka,neutral
tempat nya kotor panas banget kipasnya mati sambalnya kayak ayamnya kecil hihi,neutral
kebersihan kurang dijaga dan tehnya waktu itu sudah tidak enak dan asam masih disajikan,negative
harga bersahabat makanan favorit mahasiswa banget,positive
tempatnya bersih pelayanannya juga oke,neutral
makanannya enak sekali tempatnya adem enak buat nugas dan terjangkau buat para pelajar seperti saya benar benar sudah langganan dari dulu sampai saya mau lulus benar benar bernilai itu,positive
pelayanan sangat baik,neutral
tempat kurang nyaman untuk di buat makan ini karena jarak meja ke meja yang terlalu dekat tempat parkir terbatas dan menurut saya restonya kurang bersih,neutral
