question,answer,score
sebutkan dua ciri yang selalu ada dalam teks anekdot,sindiran kritik,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,berbicara sopan santun,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks laporan hasil observasi adalah teks yang berisi laporan tentang pemahaman secara faktual akurat dan sistematis,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,toa,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bahasa baku dan ilmiah fokus pada objek tunggal,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyampaikan fakta hasil pengamatan,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,artefak orientasi,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,mustahil istana santris anunim,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,memahami suatu struktur secara detail,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi orientasi komplikasi evaluasi resolusi koda,8
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,untuk melaporkan hasil pengamtaan secara sistematis agar dpt di pahami dan digunakan sebagai landasan untuk tindakan pemahaman lebih,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,humor yg mnegeritik sindiran halus,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang berisi penjelasan informasi,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah karya sastra malayu klasik hikayat termasuk kedalam teks cerita rakyat juga cerita terkaam berisi cerita sisilan dd yg bersifat sejarah keagamaan dll,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks observasi adalah teks laporan yang deskripsi nya berurutan seperti teks tutorial atau cara,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka orientasi mengenalkan kritik masalah reaksi penyelesaian koda penutupan,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat merupakan kasrya sastra melayu klasik berupa prosa,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,mengaanalisis teks pesan tentang nilai moral krisis sosial informasi penting pelajaran hidup yang ingin disampaikan oleh pneulis,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pembicara menjelaskan alur laurnya penulis halus lebih jelas dan ditail,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,pembuka isi penutup,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang berisi penjabaran umum dan pelaporan hasil pengamatan yang sistematis terhadap suatu objek,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objektif penyusunan teks nya sistematis dan berdasarkan fakta hasil pengamatan,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,menjelaskan suatu penerima dan karya sastra lama,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,sebuah cerita atau kalimat,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,objek menarik perhatian pembaca orientasi memberikan latar krisis membangun konflik reaksi memberikan belakang menyelesaikan,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objektif disusun sistematis ditulis berdasarkan fakta,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,agar seseorang melihat mencontoh hal positifnya,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks laporan hasil observasi adalah teks yang berisi penjabaran fakta berdasarkanpengamatan terhadap suatu objek secara sistematis dan objektif,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,menggunakan alur maju mundur menggunakan bahasa yang jelas mudah dimengerti,0
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung humor berdasarkan kejadian yang hampir nyata,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat objektif disusun sistematis ditulis berdasarkan fakta,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,tek yang berisi narasi,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,anekdot yaitu sebah laporan yang tidak pasti tapi dapat di pahami,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,tokoh istimewah mengandung unsur khayalan melayu klasik,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,tulisan kejelasan,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,memahami dulu apa yg mau kita ceritakan dan kita tulis terlebih dahulu dan kita susun dengna rapi benar cerita tersebut,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,nilai moral krisis sosial informasi penting pelajaran hidup yg ingin disampaikan si penulis,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita pendek yang lucu sekaligus menyindir,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,menggunakan pasis kerja aktif,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,ciri khas hikayat unsur fantastis ada cerita keajaiban menggunakan bahasa melayu asli,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks lho adalah teks penjabaran umum suatu objek sesuatu berupa hasil pengamatan observasi,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks laporan hasil observasi adalah teks yg kita tulis dari melihat atau menonton sesuatu seperti hewan tumbuhan dsb atau penjelasan secara rinci,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat humor,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,cerita klasik yg berisi tentang tokoh hebat biasanya banyak kejadian,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,humor elemen lucu yang membuat cerit amenghibur cerita singkat narasi ringkasan yang menyampiakan pesan,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,struktur yang singkat tapi mudah dipahami,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah cerita singkat yg berisi cerita lucu sindiran,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,ciri ciri teks lho objek ilmiah sistematis terstruktur bahasa baku ilmiah fokus pada objek tunggal informatif tidak ada prasangka,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,memberikan pesan untuk terus anekdot memberi pesan pesan moral kritik kritik ingin disampaikan penulis melalui cerita lucu dan menyindir,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,laporan berisi fakta dan hasil pengamatan,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,berisi pembahasan tentang suatu objek disusun secara sistematis terdapat perincian bagian suatu objek,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah teks berisi cerita laman atau fiksi yang menggunakan bahasa melayu lama,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang menggunakan bahasa baku,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah cerita singkat yang bersifat lucu atau menyindir biasanya digunakan untuk mengkritik prilaku kebijakan atau keadaan tertentu dengan cara yang menghibur tetapi tetap memiliki pesan moral,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak pembuka dari sebuah cerita oreantasi menjelaskan latar tokoh dan situasi krisis bagian ini dari kejadian luka reaksi seorang tokoh memberikan respon koda penutup dari sebuah cerita,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,tulisan setiap tek pasti memiliki tulisan maka perjelas tulisan dari teks anekdot tampilan menjadi lebih berkreasi,0
sebutkan tiga ciri utama dari teks laporan hasil observasi,berdasarkan faktan dan pengamatan langsung struktur terorganisir dan sistematis bahasa jelas tegas dan objektif,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menceritakan hasil observasi itu,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,tek yang,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak orientasi krisis reaksi koda,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,struktur teks hikayat abstrak orientasi pengenalan tokoh komplikasi munculnya suatu masalah klimaks resolusi koda ending ddari cerita pendahuluan pembuka cerita peristiwa isi dari cerita penutup ending dari cerita,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,memberi informasi faktual kepada pembaca,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi gambaran cerita orientasi latar cerita memperkenalkan tokoh tempat dan waktu krisis bagian inti cerita reaksi tanggapan koda penutup cerita,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,abstrak orientasi reaksi,0
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,gambar yang berbentuk prosa dan mengalami peristiwa dahulu karya sastra lama,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,tulisan yg menyajikan informasi hasil pengamatan langsung terhadap objek tertentu,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,paragraf pembukaan paragraf menjelaskan cerita kejadian paragraf penutupan,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,menggunakan bahasa yg baku menggunakan cara yg sistematis pembahasan,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,berisi fakta menggunakan bahasa baku disusun teratur dan jelas,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyampaikan fakta hasil pengamatan,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi sebagai pembuka dari sebuah cerita oreantasi sebagai penjelasan latar tokoh dan situasi komflikasi sebagai permasalahan dari sebuah cerita evaluasi sebagai penyelesaian masalalu dari sebuah cerita koda sebagai penutup dari sebuah cerita,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,menjelaskan ciri ciri umum dari satu objek atau fenomena berdasarkan hasil pengamatan langsung objeknya bisa berupa benda hewan tumbuhan dan fenomena alam,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat merupakan karya sastra melayu klasik berupa prosa,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,pembuka pengantar penutup,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,karya sastra lama berbetuk proses yang berisi cerita kehidupan tokoh dengan unsur keajaiban kesaktian,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstraksi orientasi famlikasi eramlikasi revolusi koda,5
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,membicarakan hal sesuatu,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,tema tokoh alur latar alamat,0
sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat sindiran,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,karya sastra prosa melayu yang berisi cerita undangan undangan yg bersifat keagamaan rekaan dan historis,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pengertian isi peristiwa penutup,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,texs hikayat adalah dimana seseorang menceritakan dongeng jaman dulu,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah karya sastra lama prosa lama yang bersal dari melayu yang isinya berupa cerita dongeng atau kisah tentang kehidupan para raja pahlawan dewa dewi atau orang perkasa di masalalu,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat menyindiri,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,waktu penemuan usia karya itu,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,lho singkatan dari laporan hasil observasi lho merupakan laporan yang berisi hasil pengamatan terhadap suatu objek,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,lho singkat dari laporan hasi observasi lho merupakan laporan yang berisi hasi pengamatan terhadap suatu objek peristiwa teks atau dokumen yang memaparkan data dan informasi yang diperoleh melalui kegiatan observasi,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,tujuan untuk mendaat informasi berisi fakta menggunakan bahasa baku,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat cerita tradisional tentang tokoh luar biasanya dengan unsur fantasi,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,kata pembuka kata pentup tokoh tempat waktu,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,memberikan informasi yang akurat tntang objek yang diteliti amati,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyampaikan hasil pengamatan secara jelas dan virtual,8
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,berisi tentang hiburan dan sedikit berisi tentang sindiran ublik,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks yang berisi cerita lucu,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,struktur teks anekdot abstrak orientasi pengenalan suatu kejadian krisis timbul masalah rekasi menyelesaikan masalah koda akhir cerita ending,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,abstrak orientasi krisi rekasi koda,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,mengantar isi pristiwa pneutup,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,bersifat intonatif praogis tidak logis statis logis,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,teks anekdot hiburan yang dibungkus kritik sosial sindiran halus dan pesan moral atau amanat,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,untuk menyajikan informasi data dan fakta secara objektif tentang suatu objek atau fenomena,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,bersifat sistematis pembahasan bahasa baku,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,eksposisi orientasi komplikasi permasalahan klimaks resolusi koda,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,sebuah teks observasi yg ada pada ceritanya dan ada pada kalimat pertama,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur humor mengandung kritik atau sindiran,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks cerita singkat yg bersifat lucu menyindir biasa diguanakan untuk mengkritik perilaku kebijakan keadaan tertentu,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,cerita tradisional tentang tokoh luar biasa dg unsur positif,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,kata yang digunakan sehari hari,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,menampilkan tokoh istimewa menggunakan bahasa melayu menggunakan unsur khayalan,0
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung kelucuan dan sindiran,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,menggunakan bahasa baku merupakan teks untuk laporan daat dipahami oleh pembaca,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,tokoh digambarkan luar biasa mengandung unsur keajaiban hal gaib brsifat istana,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,panjang jelas simple,0
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,pendahuluan untuk membuka cerita pristiwa isi yang trjadi penutup penutup cerita,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks lho adalah teks yg kita tulis dari melihat atau menonton suatu seperti hewan tumbuhan atau penjelasan secara rinci,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,teks hikayat adalah karya sastra lama melayu berbentuk prosa berisi cerita historis kesaktian kehebatan,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat cerita tradisional tentang tokoh luar biasanya dengan unsur fantasi,0
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah karya sastra mlayu klasik hikayat termasuk kedalam teks cerita rakyat juga cerita perkaan berisi cerita sisilah udd yg bersifat sejarah keagamaan dan dll,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks laporan yaitu teks yang awal mulainya tahu kejadian,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,sindiran publik dan sindiran lingkungan,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,tujuan dibuatkan tek observasi adalah agar di pahami dan cepat di lakukan,0
sebutkan dua ciri yang selalu ada dalam teks anekdot,mengandung unsur humor kelucuan mengandung kritik atau sindiran,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,teks yang mnjelaskan laporan yang berisi hasi pengamatan suatu objek tempat hewan tumbuhan d prsitiwa secara nyata,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita pendek yang lucu sekaligus menyindir,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat harus lebih teliti lagi agar semua dpaat memahami apa yang seharusnya dipahami,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,tokoh tokoh nya memiliki keajaiban atau kesaktian tokoh tokohnya istimewa gagah pemberani dll latar belakangnya pd masa lampau,10
sebutkan tiga ciri utama dari teks laporan hasil observasi,fakta teratur dan menggunakan bahasa baku,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah cerita klasik yg berisi tentang tokoh hebat biasanya penuh kejadian dan bertujuan memberikan pelajaran oral hiburan,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrak menarik perhatian pembaca krisis membangun konflik,10
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,hasil teks observasi itu seperti teks deskripsi dengan mencatat sebuah benda dengan rinci,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,,0
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyapaikan hasil pengamatan scara jelas dn fktual,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstrakasi memberikan gamabran umum mengenai isi teks anekdot orientasi menunjukan latar belakang kejadian atau awal mula maslaah yang akan di kritik krisis bagian inti cerita yang berisi puncak masalah atau kekonyolan yang menganudng unsur lucu sekaligus kritik reaksi bagian yang menjelaskan cara tokoh menyelesaikan menanggapi masalah yang timbul atau bagian krisis koda bagian penutup cerita kadang berisi perubahan yang terjadi pada tokoh atau sekedar penegasan ulang,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi gambaran cerita orientasi latar cerita memperkenalkan tokoh tempat dan waktu krisis bagian inti cerita reaksi tanggapan koda penutup cerita,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi gambaran krisis bagian inti,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,anekdot karena cerita ini memiliki unsur lucu dn pesan moral,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,nilai moral krisis sosial informasi penting pelajaran hidup yang disampaikan si penulis,0
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,abstraksi pembuka cerita bagian awal yang memberikan gambaran umum orientasi bagian yang berfungsi untuk mengenalkan situasi reaksi tanggapan penyelesaian,10
apa yang dimaksud dengan hikayat jelaskan dengan bahasamu sendiri,hikayat adalah sebuah cerita legenda orang melayu,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,mencari tahu menyelidiki berisi tentang mengkritik,0
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita pendek yang lucu sekaligus menyindir,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,lho jangan buang sampah sembarangan karena menyebabkan banjir,0
jelaskan dengan bahasamu sendiri apa yang dimaksud dengan teks laporan hasil observasi,lho laporan berisi fakta dari hasil pengamatan,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,menyampaikan hasil pengamatan secara jelas dan faktual mendokumentasikan data hasil observasi,0
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,hikayat biasanya tentang nilai moral akhlak nilai budaya nilai sosial dan nilai religius keagamaan,10
dari ketiga jenis teks lho anekdot hikayat pilih salah satu dan jelaskan pesan atau nilai yang biasanya ingin disampaikan penulis melalui teks tersebut berdasarkan pemahamanmu,lho adalah pengertian texs yang berisi penjabaran umum dan pelaporan hasil pengamatan tang sistematis terhadap sesuatu objek,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,bersifat intanosantris tidak logis staris logis,10
sebutkan struktur teks anekdot dan jelaskan secara singkat setiap bagiannya,kata kata,10
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,bersifat intanosentaris proosis tdk logis strais logis,10
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,untuk laporan hasil observasi yang dilakukan,0
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,memberikan informasi menganalisis mengevaluasi,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,teks anekdot adalah teks yang berisi kritikan dan didalamnya terdapat lelucon humor,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,cerita singkat humor,10
sebutkan dua ciri yang selalu ada dalam teks anekdot,pembahasan cerita singkat,10
sebutkan struktur umum hikayat dan jelaskan fungsi masing masing bagian,koda bagian paragraf pertama pembukaan,5
apa tujuan dibuatnya teks laporan hasil observasi jelaskan secara sederhana,orang akan gampang menceritakan kejadian yang pernah dia alami secara rinci sederhana,10
jelaskan apa yang dimaksud dengan teks anekdot menurut pemahamanmu,cerita singkat lucu dn menarik biasanya yata,0
sebutkan tiga ciri khas hikayat sebagai karya sastra lama,sebuah kalimat cerita unsur hikayat,0
