review,food_quality,service,price
rasa nasi goreng ini ga sebanding sama harga yang diminta,negative,neutral,negative
tempatnya bersih Ala-ala cewek kue enak terjangkau,positive,positive,positive
kopi sok artsy rasanya ga niat harga bikin ilfeel,negative,neutral,negative
tempat luas harga terjangkau pelayanan cepat,neutral,positive,positive
kopi studio bromo ini tempatnya luass banget dan Ada ruangan ber ac yang cukup banyak serta tempat nongkrong yang ambience nya oke banget,neutral,neutral,neutral
kopi studio baru tempatnya sangat nyaman parkirannya cukup luas Ada berbagai pilihan tempat duduk mulai dari sofa bangku biasa indoor outdoor jauh lebih lega dibandingkan dengan di ruko saran kedepannya lebih dilengkapi lagi Berhenti kontak di tiap tempat duduk terutama yang sofa mantap,neutral,positive,neutral
tempatnya nyaman untuk nugas pelayanan cepat kopinya enak,positive,positive,neutral
mantap murah cepat pelayanan cukup ramah rasa makanannya enak bumbunya unik cuman yang jadi koreksi nasinya kurang bersih kalau cuci Ada lumayan banyak padi utuhnya untuk yang lain sudah syiipp,neutral,positive,positive
mahal k hanya dapat ayam doang sudah begitu sambalnya mahal tapi rasanya b saja pelayanannya enggak bagus hanya Ada orang yang jaga sudah begitu tinggal mulu dibelakang dipanggil enggak dengar parah,negative,negative,negative
siomaynya keras di luar lembek di dalam bumbu ga nyatu harga bikin ilfeel,negative,neutral,negative
pelayanannya baik karyawan juga rammah tempat juga bersih,neutral,positive,neutral
makanannya enak saya suka sekali kesana,positive,neutral,neutral
tempatnya bagus makanannya juga enak tapi tukang parkirnya yang kurang enggak bantu nata motor cuma menunggu saja,positive,negative,neutral
pelayanan nya ramahh harganya terjangkau dan enak buat nugas Hehe,positive,positive,positive
tempat bagus banget enak cocok bersih,positive,neutral,neutral
pelayanan disini cepat karyawan juga ramah hidangan yang di sediakan juga enak dan higienis,positive,positive,neutral
tempat sangat bersih dan nyaman menu makanan juga enak enak harga worthit banget,positive,positive,positive
punya kesempatan untuk berkunjung dan berlibur ke banyuwangi mencoba makanan khas kota ini nasi tempong mbok nah enak pedas dan bikin segar,positive,neutral,neutral
pelayanannya gercepp dan sangat baik,neutral,positive,neutral
makan dan pelayanan nya terbaik,positive,positive,neutral
makanan dan minuman Ada di harga yang sangat terjangkau bagi anak Kos sebenarnya cocok banget tapi kalo soal tempatnya menurut saya tidak begitu bersih meskipun banyak colokan tapi kurang bersih saja begitu lihatnya kalo misal lebih,positive,negative,positive
rekomendasi tempat yang nyaman buat nugas karena selain tempat duduk kursi biasa ada juga lesehannya dan untuk menunya sangat terjangkau apalagi menu minuman yang beli satu mendapatkan satu sangat menarik pelanggan,positive,neutral,positive
rasanya memang harganya murah cocok buat pecinta bakso,positive,neutral,positive
sejauh ini ini waralaba paling buruk yang pernah aku temuin gilaak gilaak harga sama pelayanan enggak sepadan masih kena parkir Pembohong baru sekali kesini tapi langsung kapok,negative,negative,negative
isian roti bakar tipis ga kerasa roti keburu pahit,negative,neutral,negative
papan kopi studio kurang besar rasa minuman sesuai standart kafe pada umumnya tempat nyaman pelayanan baik,positive,positive,neutral
tempatnya nyaman adem dan juga bersih,neutral,neutral,neutral
kesini pulang kerja niat makan sengaja suka banget hobi ngefoto makanan buat jadi kenang an malah di sindir sama orang dapur hem ngunu saja difoto sama ketawa enggak lucu banget memang gaboleh ya foto-foto makanan di gacoan tolong deh dibina karyawannya sikap nya banget yang pakai topi hitam dan masker hitam yang mengomong kayak begitu tolong ya gacoan diperbaiki lagi,neutral,negative,neutral
menunya enak dan harganya terjangkau Ada musholanya juga ac nya juga adem,positive,neutral,positive
gratis sayur ambil sepuasnyaa harga terjangkau untuk mahasiswaa tempatnya bersih nyaman,positive,positive,positive
apalah mengasih saus thai manis cabai nya kayak dosen pembunuh mengasih nilai dikit banget,negative,neutral,neutral
enak nyaman cocok untuk anak Kos,positive,neutral,neutral
tempatnya enak banget sudah sering makan sini,positive,neutral,neutral
katanya rujak spesial ternyata buahnya lembek bumbunya pelit harga nyolot,negative,neutral,negative
tempat nyaman pelayanan ramah dan cepat ramah Ada kantong,neutral,positive,neutral
pesen ikan bakar berharap gurih malah dapet ikan kering rasa asap doang harga bikin emosi,negative,neutral,negative
mie yamin disini manis doang ga ada gurih gurihnya tapi mahal banget,negative,neutral,negative
pelayanan baik murah meriah makanan enak,positive,positive,positive
enak buat nugas biasanya kalo Ada tugas numpuk uts uas ngerjainnya di sini apalagi di ruang rapat bisa buat fokus makanan minuman murah banget,positive,neutral,positive
beberapa Kali kesini dari segi harga makanan minuman sangat ramah di kantong hanya saja meskipun menerapkan konsep diri layanan seharusnya lebih diperhatikan lagi kebersihan meja dan kursinya tiap Kali kesini meja masih penuh dengan debu jadi bikin pakaian kotor apalagi tidak disediakan tisu jadi kalo Ada bekas tumpahan minuman bingung bersihinnya,neutral,negative,positive
gacoan paling enak dan pw tempat nya di malang,positive,neutral,neutral
harga sangat terjangkau dan rasanya lumayan namun saya masih bertanya tanya hingga sekarang dimana keberadaan upin ipin dan opah saya tak pernah menampak pun,positive,negative,positive
sambelnya pedas dan segar Ada sayuran lalapan bayam dan kubis rebus pilihan lauk juga lengkap,positive,neutral,neutral
puedes dan enak recomended harga sesuai dengan apa yang kita pilih topingnya aemua karyawan ramah bisa dibtake jauh,positive,positive,positive
nasi tempong yang sudah Ada daridulu tidak tahu tepatnya berdiri dari tahun kapan yang saya tau nasi tempong ini selalu ramai pembeli mungkin karena sambalnya yang pedas dan menggugah selera juga harganya sangat terjangkauu sekali dan lokasinya yang sangat strategis di pinggir jalan sehingga sangat mudah untuk dijangkau,positive,neutral,positive
tempatnya bagus pelayanan cepat Ada es krim dimsum dan pao,neutral,positive,neutral
direkomendasikan jika ke banyuwangi pelayanan cepat menu makanan juga oke,neutral,positive,neutral
kalau lu pada mau cari makan sahur saran gua jangan kesini deh tempat lain saja sudah hari kepaksa beli sahur disini tapi kejadiannya selalu sama ini tempat punya pelayan baru goreng itu ayam iya kalau nunggunya bentaran ini tidak menit lebih buat menunggu makanan sampai siap sialnya pelayannya enggak mengasih tahu dulu kalau ayamnya belum Siap dan harus goreng dulu tapi selalu habis bayar baru dikasih tahunya belum lagi pelayannya kagak ramah banget mungkin masnya yang lagi shift capek tapi ya bolehlah ramah dikit ke pelanggan oh iya satu lagi tiap pelanggan pasti ditanyai kan namanya sehabis bayar ya panggilah itu pelanggan pakai nama bukannya malah hei mas yang kacamata kagak sopan banget,neutral,negative,neutral
ditanya apa yang Siap geprek krispi katanya oke pesan geprek krispi saja malah menunggu menit lebih Lama banget,neutral,negative,neutral
gila kotor banget tempatnya sumpah sampai enggak nafsu makan murah sih murah cuma banyak bekas makanan yang enggak dibersih ini,negative,negative,positive
harga murah tapi rasanya enggak murahan wajib coba sih,negative,neutral,positive
tempatnya nyaman penuh ac dan bersih Ada hidup musik juga pelayanan ramah makanan mah kalo disaya yang paling penting sambelnya sambel tempongnya pedesnya pas bisa dnikmati karena kebiasaan dsulawesi makan pisang goreng pakai sambel akhirnya meminta ekstra sambel yang ternyata bebas senang banget enggak tuh bumil kalo mengidam kturutan pas datang kesini djam kritis langsg bahagia,positive,positive,positive
tidak di sosial media nya tidak di tempat nya penanganan komplain pelanggan terkesan di biarkan aku pesan makanan menunggu bisa sampai jam padahal tempat duduk tepat didepan kasir tidak Ada pemberitahuan pesanan sudah selesai atau bagaimana pelanggan cuma sedikit bisa dibilang saya doang makanya sepi pelayanan enggak bernilai itu banget,neutral,negative,neutral
hari ini sangat sangat mengecewakan oke lah antrinya enggak Lama tapi pelayanannya sangat mengecewakan dari varian sambal yang tidak di kasih tau dan ukuran ayam yang sangat kecil untuk harga segitu kalah dengan resto yang notabennya kecil mohon untuk manajemen perbaiki pelayanan dan kualitas makanannya saya ke geprek kak mawar ini tidak sekali dua Kali semakin hari semakin turun kualitasnya mohon untuk diperbaiki,negative,negative,positive
sebenarnya sudah langganan kopi studio dari dulu cabang mana cuma yang cabang ini kasirnya enggak ramah minimal senyum atau apa begitu ulangi ordernya juga enggak konsisten enggak kesemua pelanggan mau pesan jadi malas kasirnya jutek sudah yang kedua di jutekin pesan disini tolong sop kerjanya,neutral,negative,neutral
pelayanan ramah staf nya juga baik nikmatilah buat nugas apa kumpul juga luas asik tempatnya,neutral,positive,neutral
paling suka sama menu chiken mawar sayap hmm sedap banget apalagi saus cabenya melimpah banget makanya menu mawar sayap ini cepat habis lokasi dekat sama kampus uin malang harganya cocok untuk kantong mahasiswa bukanya jam sarannya sih kalo bisa tempatnya perlu di bersihkan lagi untuk kenyamanan pelanggan,positive,negative,positive
tempatnya nyaman masakannya enak harganya sesuai juga,positive,positive,positive
pelayanan nya menurut saya kurang memuaskan seperti makanan bekas pelanggan sebelumnya Lama tidak dibersikan dan pelanggan baru yang harus memanggil karyawan untuk membersihkan meja mie nya tidak hangat terasa lebih ke dingin dan juga rasa pedasnya tidak sesuai dengan tingkat yang dipesan sepertinya tidak Ada kursi dan meja tambahan sehingga pengunjung yang baru datang sedikit kebingungan,negative,negative,neutral
kaget pertama Kali kesini beli porsi rbkeyboard- key- name ayam nya keras tepung tok sambel cuma sedikit harga mahal tempat kotor nasi agak lembek kayak bubur menunggu juga agak Lama pegawai kurang ramah sekali sempat Ada yang protes langsung juga tadi masalah isi ulang an habis semua,negative,negative,negative
teh tarik sok viral tapi kualitas zonk dan harga kejam,negative,neutral,negative
mantap pelayanan cepat lingkungan bersih,neutral,positive,neutral
ketika saya ambil jauh makanan saya mesan gacoan tingkat malah dikasih mie hompimpa lv dan saya tidak memesan udara putih namun dikasih udara putih dan saya memesan udang keju lumpia udanh yang datang hanya udang keju tetapi yang lumpia udang sempat saya cek karena terlihat hanya datang kotak jadi sempat untuk diperbaiki dan diberikan lumpia udang kepada saya namun mie gacoan saya tetap salah,negative,neutral,neutral
Lama banget udang kejunya sudah mateng duluan tapi mie nya belum sampai pas sudah bisa diambil udangnya sudah dingin pegawai nya juga lelet banget padahal juga enggak rame banget,negative,negative,neutral
Lama enggak ke gacoan stasiun pas kesini malah rasanya berubah tekstur mie nya jadi kayak instan godok mie keriting rasanya juga beda banget yaampun gaktau pas lagi kebetulan saja atau memang sudah di ganti,negative,negative,neutral
pelayanan cepat tempat nyaman,neutral,positive,neutral
rasanya sangat enak,positive,neutral,neutral
lokasi di depan komplek perum dirgantara sistemnya masuk nanti ditanya berapa orang akan di carikan meja selanjutnya Pindai barcode untuk pilih menu dan pemesanan untuk pembayaran bisa tunai dan qris kalo tunai setelah pesan langsung ke kasir untuk minuman dan dimsum kita ambil sendiri di meja setelah portabel alarm bunyi untuk mie akan diantar,neutral,neutral,neutral
untuk pelayanannya sudah oke hanya saja untuk makanannya terutama mie dan pangsitnya terlalu berminyak,negative,neutral,neutral
kue pancongnya enakk cookies dan krim nya juga mantap betul,positive,neutral,neutral
langganan kalau makan gacoan pasti kesini anda memiliki tapi coba,neutral,neutral,neutral
mantap dan murah porsi banyak banget waktu di banyuwangi x beli disana enggak habis dimakan sendiri bisa dimakan berdua Ada bayam rebus tempe goreng iwak asin lauknya macam-macam pilihannya sambelnya banyak oke nempong banget cuma yang kurang cocok telur dadarnya krispi kering banget jadi kurang berasa x pesan sama mungkin memang disana telurnya begitu Kali ya,negative,neutral,positive
datang laper pulang kesel siomaynya dingin bumbu ga niat mahalnya kebangetan,negative,neutral,negative
tempat nyaman buat workspace atau hangout pelayanan ramah cepat harganya lumayan terjangkau buat mahasiswa terbaik tempat buat nugas sampai kayang kopi enak terutama tehnya yang terbaik,positive,positive,positive
halo kak ini saya barusan pesan minuman dan makanan darai shopee yang datang minuman doang cirengnya kemana ya tolong kalau jualan yang benar kembaliin duit gue meskipun cuma beberapa ribu tapi kalau enggak amanah enggak ikhlas gue tolong karyawannya diganti saja kalau enggak benar enggak Ada otaknya,negative,negative,neutral
mantab hampir hari-hari makan disini langganan sikecil,neutral,neutral,neutral
tempatnya bagus mantap,neutral,neutral,neutral
beli mendapatkan nya mantap abizz,neutral,neutral,positive
disini enak banget buat mengerjakan tugas tempatnya nyaman ademmbangett,neutral,positive,neutral
es kelapa muda ini dingin di mulut panas di dompet,negative,neutral,negative
tempatnya nyaman si cuma untuk outdoor atau daerah smokingnya kurang,neutral,negative,neutral
lokasi sahabat nyaman untuk nongki atau pun sekedar makan,neutral,neutral,neutral
enak pelayanannya ramah dan mbak yang di depan sangat membantu,neutral,positive,neutral
beli ambil awayy eh Ada rambutnyaa jadi enggak selera makan,negative,neutral,neutral
keduakalinya saya dan keluarga makan disini dan tetap mantap pilihan lauknya banyak dan harga masih masuk akal kalau dilihat lihat nasi tempong ini mirip nasi sambelan di surabaya dan sekitarnya bedanya standar sudah dikasih sayuran rebus dadar jagung tempe tahu dan sambalnya pedas manis gurih bikin gobyos setelah selesai makan nah lauknya itu yang bermacam macam dan digoreng semua enggak Ada yang direbus seingat saya minumannya kalau ingin yang lejen bisa pilih temulawak bersoda yang dulu terkenal banget namun sekarang mulai menghilang terdampak minuman bersoda impor,positive,neutral,positive
tempat nugas paling nyaman nih ya di kopi studio selain minuman dan makanannya yang enak dan pastinya ramah kantong tempatnya juga tenang,positive,positive,positive
baik layanannya,neutral,positive,neutral
enak sampe nyesel bayar,negative,neutral,negative
tempatnya nyaman dan terjangkau,neutral,positive,positive
ini sering banget ya kejadian kalo urutan lewat online dan menu yang dipesan lagi enggak Ada atau habis enggak diberitau ujung nya enggak termakan karena kurang enak tadi pesan ayam hokaido sambalnya diganti tanpa bilang dulu dan dikasi sambal bawang yang minyaknya banyak banget daripada cabenya berasa makan nasi ayam sama minyak ujung nya enggak termakan jujur rasa ayamnya juga kurang kecewa banget,negative,negative,neutral
maa syaa allah enaknya,positive,neutral,neutral
tempatnya enak buat nugas,positive,neutral,neutral
pelayanannya baik setiap menunyaa juga enak enak punya cita rasa tersendiri harganyaa terjangkau juga jadi pas buat teman diakhir bulan,positive,positive,positive
enak banget ayamnya terbaik atas markotop bingung si kok seenak ini enggak banyak cabang tokonya ya,positive,negative,neutral
enggak rugi pertama Kali kesini pelayanan bintang,neutral,positive,positive
seperti biasa harga dan rasa sangat worthed tempat lumayan tidak panas tempat salat Ada okt,neutral,neutral,positive
mak nyuss,neutral,neutral,neutral
pertama Kali ke banyuwangi makan nasi tempong ternyata modelnya mirip sama nasi pecel sebenarnya sambel dan sayurannya enak ayam gorengnya juga oke sangat direkomendasikan untuk yang lagi mencari menu tradisional banyuwangi,positive,neutral,neutral
eh tolong ya kalo kasih pesenan pelanggan itu yang benar kak saya lagi capek capek nya dan laper tapi pesenan nya enggak sesuai pesan tingkat malah dikasih tingkat dan hambar allah kak tolong diperhatikan lagi ya kak saya enggak tega kasih bintang jadi tolong dilihat keluhan saya pls saya gajadi makan karena enggak kuat pedas padahal lagi laperr aa,negative,negative,neutral
dari beberapa rumah makan yang menyajikan nasi tempong saya lebih cocok dengan nasi tempong mbok nah sayur dan lauk yang disajikan enak sambalnya pun lebih enak telor dadarnya gurih wajib dicoba ibu ibu yang melayani di penghitung makanan juga sangat ramah dan sabar menjelaskan menu makanannya meskipun kondisi sedang ramai antrian rumah makannya sederhana namun cukup nyaman untuk menikmati makan di tempat tempat makan dan suasana hanya fungsional bukan tempat untuk berlama Lama makan sambil mengobrol karena cukup ramai pengunjung meski demikian nasi tempong mbok nah sangat disarankan bagi yang ingin menikmati nasi tempong makanan khas banyuwangi,positive,positive,neutral
mie yamin gagal total harga sukses bikin emosi,negative,neutral,negative
menurut saya harganya terjangkau enak dan porsi nya juga banyak keseluruhan sudah bagus,positive,neutral,positive
rasa mantap harga pas dikantong,positive,neutral,positive
tolong enggak lagi deh beli disini sudah pelayannya enggak ramah pesenannya Lama hampir jam kita tanyakan ke pelayan nya malah dianya enggak jawab langsung ngelayanin yang lain padahal kita masih berdiri di depan dia buruk sikap kapok makan disini,neutral,negative,neutral
enak banget tempatnya,positive,neutral,neutral
tekstur kelapa ga konsisten ada keras ada lembek,negative,neutral,negative
suasana nyaman dan enak buat nugas,neutral,positive,neutral
menu sngat bervariasi harga sesuai termasuk standar sambalnya juara,positive,neutral,positive
tempat luas makanan mantap dan harga terjangkau,positive,neutral,positive
tmpat oke nyaman makanan enak over semua enak semua,positive,neutral,neutral
datang buat makan enak pulang bawa pelajaran finansial,negative,neutral,negative
okelah pelayannya kurang cekatan,neutral,negative,neutral
enak saking enaknya kadang antrian panjang,positive,negative,neutral
masakan khas banyuwangi dengan rasa yang enak dan khas,positive,neutral,neutral
nasi gorengnya berminyak parah bumbu ga nyatu harga bikin pengen ketawa sarkas,negative,neutral,negative
sangat sqngat rekomen dari pelayanannya cepat higga ke makanannya enak toop markotp,positive,positive,neutral
tidak sesuai pesanan menunggu Lama bayar kembalian lemot,negative,negative,neutral
minum dan makanan enak serta harga terjangkau,positive,neutral,positive
pelayanannya baik ramah cepat suasana sedikit ramai tetapi disediakan ruang sendiri untuk belajar,neutral,positive,neutral
resto kotorr pelayanan sangat lamaa,negative,negative,neutral
harganya murah dan cocok di kantong mahasiswa tempatnya enak buat nugas dan santai santai,positive,positive,positive
rasa pentol krikil ga sebanding sama harga yang diminta,negative,neutral,negative
rasanya sih lumayan sambel nya memang nampoll pedess banget cuman kadang terlalu asin dan untuk pilihan lauk nya banyak banget Ada pepes tongkol pepes cumi dll untuk harga sih murah,negative,neutral,positive
untuk makanannya murah dan enak mantap di sambalnya lokasi strategis untuk tempatnya bisa buat santai,positive,neutral,positive
beli martabak berharap legit malah dapet adonan kering gosong pinggirnya mahalnya kebangetan,negative,neutral,negative
nasinya tidak matang rasa ayamnya hambar cabang sawojajar ini pelayanannya juga kurang memuaskan beda dengan cabang lain,negative,negative,neutral
pentol krikil disini ngajarin arti kecewa finansial,negative,neutral,negative
baksonya moncrot kemana mana,neutral,neutral,neutral
makanan enak harga murah rame penuh pinggir jalan kesukitan lahan parkir,positive,neutral,positive
tempatnya nyaman banget harga terjangkau mantap,neutral,positive,positive
mantap tapi orang tidak suka karena Ada tukang parkir yang taunya hanya ambil terus enggak di sebrangin,positive,negative,neutral
semoga kedepannya lebih bersih lagi ya soalnya di mienya Ada telur lalatnya kak,negative,neutral,neutral
mantap betul pelayanan juga oke dan Ada promonya,positive,neutral,positive
mantap banyak banget spasi tempat duduknya kasirnya ramahh,positive,positive,neutral
pesan th anget dikasih th panas pakai banget dan masnya nyuruh saya tambah es sendiri biar jadi anget pelayanannya buruk banget,negative,negative,neutral
ayam nya kurang krispy lembek nasi nya juga lembek banget bumbu kuning nya encer banget kayak kebanyakan udara tolong manajemen nya dong ya,negative,negative,neutral
rame sih boleh rame tapi kebersihan di jaga dong pegawai segitu banyak cuma kesana kemari toh makanan kita ambil sendiri juga plating nya acakadul sampai mie nya keluar keluar enggak Ada yang bisa dipegang karena lengket lengket tisu habis tidak Ada yang isi ulang kuotor banget tidak di sapuu pernah makan di cabang sinii juga pesan makan jam datang set lebih jam kita belum selesai makan deh di siramin udara pel wkwkwk berasa di usir banget padahal masih makan entar habis juga pulang kokk mungkin bisa negur baik dulu atau tawarin ambil jauh kalau sudah penutupan kita bakal oke kok,negative,negative,neutral
anggaran mahasiswa ramah tempat nyaman luas tempat duduk banyak cukup banyak colokan oke buat wfc,neutral,positive,positive
baksonya macam variannya banyak bisa ambil sayur sepuasnya atas,positive,neutral,neutral
pertama Kali mampir kesini kepo karena setiap lewat selalu ramai mampir disaat menuju buka puasa dan ini ulasan jujur makanannya biasa saja seperti nasitempong pada umumnya pelayanan kurang terkoordinir ya kita harus antri dibelakang tempat lauk pauk terus nunjuk pakai lauk apa baru diambilin kalau ramai banget ya numpuk disitu kalau enggak gerak cepat ya dikacangin disela sela suasana selalu ramai ya pengunjung nya banyak banget tiap lewat sini selalu antri bikin orang kepo dimintain nota bertele tele dengan alasan Ada nota tapi dengan tulisan harga jadi satu enggak yang ditulis permenu terus fungsinya nota buat apa keseluruhan cukup sekali saja,negative,negative,neutral
cocok banget buat anak kosann,neutral,neutral,neutral
bisa ambil mie sayur koyor sepuasnya yang bakso lumer enakk,positive,neutral,neutral
makaananya jangan ditanya mauntep sekali sampai bertambah lagi dan rasa sambelnya segar dan pedas untuk tempatnya kesana untuk pertama Kali pakai peta kelwatan beberapa meter saja soalny ketutupan mobil kotak,positive,neutral,neutral
tempatnya nyaman aestatic sistem nya juga beda jadinya lebih cepat enggak mengantri lagi Ada menu baru nya juga aku ambil jauh siomay rudalnya enakk bungkusnya juga sudah ganti paperbox lucukk,positive,positive,neutral
lebih di tingkatin lagi ya kebersihannya karena aku orangnya baik jadi tetap aku kasih bintang mihu mihu i love anda,neutral,positive,neutral
menunya banyak bervariasi dan cocok untuk pelajaran tempatnya nyaman untuk nugas tetapi dari segi kebersihan lebih diperhatikan lagi,positive,neutral,neutral
tempat bagus untuk nugas wifi lancar makanan minuman enak murah,positive,positive,positive
makan nasi goreng ini lebih banyak mikir harga daripada nikmat,negative,neutral,negative
pas banget cepat enggak antri Lama murah dan enak siomay nya apa memang sudah dingin begitu ya,neutral,positive,positive
tempat oke tapi kopi bikin nyesel bayar mahal,negative,neutral,negative
nasi goreng disini bukti mahal ga selalu enak seringnya nyebelin,negative,neutral,negative
makanan khas yang enak tempat nyaman dekat dengan djawatan,positive,neutral,neutral
tempatnya enak dan pelayanannya mantap,positive,positive,neutral
muraan enak,positive,neutral,neutral
pelayanan baik kakaknya ramah tempatnya enakk,positive,positive,neutral
di sini sudah pakai sistem diri layanan pesannya cari tempat duduk dulu baru ambil belnya habis itu Pindai di tempat duduk bayar di kasir untuk mienya bakal diantar tapi untuk minuman dan dimsumnya ambil sendiri sejauh ini oke cuma untuk pelanggan baru yang kelewat info kasihan banget sudah mengantri Lama suruh muter lagi di awal agak ribet juga harus bolak balik tapi andaikata pembayaran langsung bisa cashless tanpa ke kasir lebih bernilai pakai ini,neutral,negative,neutral
bakpao gagal total harga sukses bikin emosi,negative,neutral,negative
geprek kak Ros rasanya enak lezat dan pelayanan nya sangat ramah dan baik hati,positive,positive,neutral
urutan ta mie gaxoan butir menunggu Lama banget pas sudah setengah jam mencoba tanya ke checker mbak yang pegang mic cuma dilihat sama dijawab belum mana kelihatan badmood mbak nya terus menunggu lagi menitan tanya lagi buat yang kedua kalinya ke mbak mbak yang lagi gulung mie baru dikonfirmasi ke tukang masaknya trnyt kertas checker nya hilang saran buat checker kalo pelanggan sudah terdengar makanan Lama harusnya checker mencari kertas nya sama mastiin orderan sudah dibuatin apa belum eh si mbak malah cuma melihat kertas bill yang aku tunjukkan doang sambil bilang masih belum kak nah aku memperhatikan mbak nya enggak Ada mencari kertas checkeran nya soalnya customerbyg baru datang sudah oada menerima orderan mereka,neutral,negative,neutral
nasi gorengnya kering ga gurih tapi harga basah nyerap dompet,negative,neutral,negative
karena waktu kesana pas rame banget jadi enggak sempat mencoba makanannya karena kata kasirnya bakalan menunggu Lama banget tapi keseluruhan pelayannya ramah banget cuma jarak tempat duduknya terlalu mepet mungkin kalo rada jauh bisa nyaman buat nongki,neutral,positive,neutral
enak ayam gorengnya,positive,neutral,neutral
maaf Kali ini kasih ulasan kurang bagus karena sempat kecewa dengan pelayanannya sebenarnya sudah langganan di sana dan tiap beli selalu dapat bill otomatis tanpa kendala tapi baru Kali ini dapat nota manual dan salah kasih kembalian waktu dikomplain mbak kasirnya lupa kita kasih uang berapa tolong lain Kali lebih teliti dan fokus lagi ya mbak atau lebih baik pakai bill otomatis saja seperti biasa memang nominalnya enggak besar tapi cukup bikin kecewa saja,neutral,negative,neutral
sangat nyaman buat nugas,neutral,positive,neutral
saya ingin kasih bintang semua tapi enggak baik nutup rejeki orang semoga pelayanan dan kebersihannya ditingkatkan ke sana buat beli bukan meminta,neutral,negative,neutral
harga kopi murah dan pancongnya enak dari yang lain,positive,neutral,positive
baksonya yang terbaik bisa ambil sayur dan koyor sepuasnya,positive,neutral,neutral
mantap antri panjang gaess,neutral,negative,neutral
bagaimana ini kok tetap tidak Ada perubahan untuk pengandar online kami ini hanya mengantarkan bukan menunggu katanya sistem diperbaiki mana apa kalian enggak kasihan pengandar online yang menunggu Lama,neutral,negative,neutral
masa mau pesan menu selain ayam geprek renyah di bilang enggak Ada terus,neutral,negative,neutral
pedas mantap betul gacorr banget deh,positive,neutral,neutral
tempat nya nyaman coustamer nya ramah enakk sekali,positive,positive,neutral
makanan favorit saya sama pacar saya,positive,neutral,neutral
sambalnya enak ayamnya juga enak tapi kecil ya sesuai lah sama harganya cuma menunya kurang bervariatif biasanya untuk sayurnya sering kosong jadi cuma ayam saja harga juga murah cocok buat kantong anak kost kalau untuk makan ditempat memang tempatnya kayak kurang nyaman biasanya saya beli untuk dibawa pulang lokasi mudah untuk ditemukan berada di pinggir jalan raya besar,neutral,negative,positive
lokasi strategis pinggir jalan makanan enak murah banyak varian pelayanan juga ramah recomended,positive,positive,positive
enak murah mantab,positive,neutral,positive
kopi nya sih murah cuman k rasa lumayan tapi bikin batuk kayaknya perlu ganti gula bulan lalu habis minum kopi di kalian besoknya langsung batuk,negative,neutral,positive
tempatnya estetika cocok buat kerjain tugas dan kumpul bareng teman kasirnya ramah,neutral,positive,neutral
pelayanan oke enak,positive,positive,neutral
makanan keluar Lama orang yang pesan terakhir kok pesanannya duluan yang jadi menunggu smpk appetizer nya sudah dingin tempat saos enggak dikasih jelek sekali pelayanannya,negative,negative,neutral
bersih dan nyaman,neutral,neutral,neutral
tempatnya sangat nyaman dan harganya ramah di kantong bagi mahasiswa,neutral,positive,positive
suka banget sama tempat nya nyaman cocok untuk mahasiswa,neutral,positive,neutral
makanannya enak dan pelayanannya cepat,positive,positive,neutral
pizza ini lebih cocok buat foto daripada dimakan,negative,neutral,negative
katanya porsi gede ternyata nasi doang rasanya ga berjiwa mahalnya serius,negative,neutral,negative
