sentence,label
maaf ya saya kasih peringkat karena agak kecewa dengan pelayanan pertama ada siomay yang agak hancur salah saya meminta tukar malah disewotin padahal masih di lokasi pengambilan dimsum kedua saya pesan aneka dimsum tempat ternyata enggak habis karena kenyang kan sayang kalo mubazir mau saya bungkus meminta kakak tempat untuk bungkus dimsum jawabannya suruh bawa dimsum yang mau dibungkus dan antri di kasir mana kasirnya ada antrian banyak buat pesan menu kok ribet banget yaudah dimsum sisa saya bungkus pakai tisu saja,negative
suasananya cocok banget buat makan bersama anak dan keluarga nyaman bersih asri sekali,neutral
pelayanan terlalu lama,negative
bakso enak murah mahasiswa ramah,positive
usaha punya teman sekampung,neutral
pelayanannya lambat sudah cadangan urutan oleh obrolan hampir satu jam sampai di lokasi ditungguin menit lebih baru diinfoin menunya kosong kurang koordinasi ditambah server nya bolak balik kebingungan,negative
layanan nya kurang bagus kalo mesinnya untuk minuman rusak harusnya di beri sedotan bukan malah di suruh nyucup dari gelas langsung pegawainya kurang ramah juga,negative
mas yang jaga malam di bagian kasir dan pembuat minuman sangat tidak ramah kami pembeli kena marah oleh pelayannya saya baru pertama kali ke geprek kak mawar sehingga belum tau alur pesannya kapok enggak kesana lagi,negative
tempat nya nyaman dan cocok buat nugas serta harga sangat terjangkau,positive
maaf menurut saya untuk sambalnya masih kurang pedas masih pedas yang pertama kali buka,neutral
makanan yang enak pas untuk mahasiswa,neutral
outlet geprek kak ros cabang saya tau bahwa harga makanan disini sangat murah tapi tidak menjadi penghalang untuk menjadi lebih baik dari pertama saya sampai ada karyawan yang sedang duduk santai mengobrol bersama dengan teman wanita nya karena pria tersebut memegang pelan dan menghalangi orang jalan kondisi disini juga tidak terlalu bersih lantai licin dan kotor tidak ada sirkulasi udara yang baik saya memesan minuman dan didalam minuman nya ada plastik yang cukup besar tapi kenapa pelayan tidak menyadari adanya plastik tersebut saya sangat kecewa dengan pembelian saya di outlet geprek kak ros cabang ini mohon untuk dijadikan pelajaran dan tidak mengulangi lagi,negative
gacoan paling enggak jelas se malang raya menang tempat bagus doang mending gacoan yang biasanya saja kesan pertama kesini karena fomo pesan mi tingkat dan tb waktu geser ambil jadi lv dan jauh banget cok komplain enggak bisa diganti dan terlanjur badmood akhirnya antri pesan ulang lv jadinya pesan mie padahal aku cuma orang mi nya disini lembek enggak kayak di outlet lain biasanya makan selalu habis yang ini nyisa karena enggak enak pelayanan disini minus semua karyawan banyak tapi cuma tolah toleh bercanda enggak guna,negative
bungkus makanan saja menunggu jam yang baru datang diutamakan resto payah,negative
sesuai motto pujaan anak kos enak murah porsi banyak enggak ada yang bisa dicela dari restoran satu ini,neutral
enak dan murah sayang ada kang parkir e padahal cuma pesan takeaway,negative
masakannya enak tempatnya strategis tidak sulit dicari variasi makanannya super lengkap,neutral
tempatny enak pelayanannya ramah jos deh pokoknya,positive
bagus pelayanan keren,positive
tempatnya cocok banget buat nongkrong kopi dan makanannya juga enak,neutral
nasi tempong khas banyuwangi sambalnya mantabbss,neutral
rasa mie lumayan dan harga terjangkau,neutral
makanan nya enak dan murah dekat juga dengan stasiun disarankan buat yang lagi menunggu kretaa buat berpergiann,neutral
mantap rasanya juga sip,neutral
agak kekacauan kalau rame baksonya enak cuma hari ini kuahnya kurang panas terus beli bakso mozza juga tapi enggak ada mozanya sampai saya belah belah seperti di gambar bakso kejunya enak,negative
pelayanan cepat makanannya enak tempatnya luas cocok untuk belajar dan bekerja harga sangat terjangkau,positive
makanannya endes rasa sambalnya dipadu dengan ikan wader sungguh pas tempatnya luas bisa lesehan maupun meja biasa parkiran untuk mobil dan motor pun luas dan yang mau menunaikan sholat dilengkapi dengan musholla jadi kalau melewati jalan poros banyuwangi ketika melewati daerah benculuk usahakan untuk mampir,positive
makanannya selalu enak rasanya juga enggak berubah dari dulu apalagi kopinyaa kalo cari kopi murah terus enak selalu kesini,neutral
tempatnya nyaman enak buat ajak anak anak kesini makanannya oke pelayanannya baik harganya juga murah,positive
uenak rek baksonya tapi pas kami datang kuahnya enggak panass,neutral
rasa enak varian geprek banyak harga bersahabat dengan dompet lantai sempit saran saya makan di lantai agak lega tmpnya,neutral
nasi dengan sambal dan sayur rebus ditambah berbagai macam lauk tinggal pilih sesuai selera rasa enak tapi cenderung manis,neutral
bernilai itu buat nugas,neutral
jangan pesan online hampir jam menunggu kasihan pengandar,negative
untuk awak darius tolong sikap nya di perbaiki tidak ada yang menyebut akan pesan mie tapi dia x tanya tentang mie saya dari awal jelas jelas bilang pesan nasi ayam sambal pisah lalu di jawab tidak sopan dengan ekspresi alis yang naik seperti merendahkan lalu menghiraukan pelanggan sambil menghitung uang agak lama baru konfirmasi lagi pesanan saya dengan tidak mengenakkan tolong jika ada pelanggan pesanannya di dengarkan baik baik jika sedang sibuk menghitung uang baiknya meminta maaf dulu biar lebih sopan saya juga pernah kerja dibidang suka menerima begini salah satu yang dijual itu selain fnb nya ya keramahtamahan nya sikap mas tersebut sangat tidak sopan,negative
kelebihan pelayanan baik beda sama geprek kak mawar depan ub sambel banyak kekurangan masih menunggu goreng dulu kira kira menit,positive
pelayanannya ramaah tapi mungkin lantai perlu ditambah kipass hehee,positive
luarr biasa rasanya nampol sambalnya nendang nikmatnya luarr biasa,neutral
jujur sedikit kecewa dengan layanan yang dikasih selama di mie gacoan sawojajar disini model pemesanannya sedikit berbeda dari cabang lainnya yang aku tau disini pakai pindai menu di nomor meja tapi di awal masuk enggak ada arahan untuk ambil nomor meja dan edukasi terkait cara pemesanan terus pas ditanya buat nomor meja kakak pekerja nya malah tanya balik dengan sedikit menyolot dan tidak ramah loh belum ambil nomor meja untuk takeaway disini modelnya kayak mcd jadi pakai diri memesan kios keseluruhan ini oke sih pembayaran bisa qris atau ke kasir jujur mending langsung diri urutan di mesin daripada sama mbak mbaknya dijutekin semoga bisa buat bahan perbaikan managementnya oleh yang cara tadi menunggu makanannya datang hampir sejam tapi buat minumannya cepat lah paling menit jadi mending kesini kalo enggak laper laper amat daripada laper terus dijutekin yang ada membuat buat tambah nya bapak parkirnya ramah dan membantu,negative
makanan enggak layak tahunya basi pelayannya enggak teliti pesan apa dikasih apa pesan sambelnya di pisah ayamnya enggak usah di geprek tetap saja di geprek samblenya juga di campur pdhla antri cuma orang masa enggak ditulis di catatan,negative
bagus karyawan ramah atas nama kak putri,positive
gacoan disini lama banget antriannyaa sudah pernah menjelajah diseluruh gacoan dari di jombang kediri ponorogo semarang jogja bali malang yang dekat um tapi yang disawojajar ini paling lamaa pelayanannya mohon dievaluasi lagi,negative
tolong di perbaiki sistemnya pisahin orderan gojek dengan takeaway orderan biasa atau karyawan yang cuma berdiri daripada mengobrol doang suruh membantu biar cepat menunggu pesanan hampir sejam,negative
murah dengan menu segambreng sambalnya mantap,neutral
tempatnya luas ada tempat bermain juga buat anak anak jadi ada media bermainnya enggak ganggu pengunjung yang lain terus makanannya cepat juga penyajiannya disini aku pesan tingkat tapi enggak tau kenapa kayak lebih pedas dari biasanya haha seperti biasa gacoan adalah recomended,positive
pelayanannya mantap ramah murah juga,positive
sekian kalinya kecewa pesan es kosong tanpa konfirmasi habis ada coustemer lain komplain shopefod juga dengar komplain tanpa sambel dikasih sambel suara musik keras banget,negative
sangat enak daging nya lembut,neutral
enak sih tapi masukan saya untuk gacoan adalah tingkat pedasnya dimohon lebih konsisten lagi waktu itu makan tingkat dan tingkat di waktu yang berbeda lebih pedas yang tingkat kemudian saya pernah beli lagi tingkat eh kurang pedas di waktu selanjutnya beli lagi terlalu pedas padahal saya selalu beli tingkat yang sama,neutral
untuk makanan dan minumannya enak dan murah buat anak kos tempat nya juga estetika dan bagus,neutral
pelayanan bagus makanan minuman enak dan murah,positive
es th ya enggak enak banget sih,neutral
pindai barcode mempercepat pemesanan sehingga antri tidak terlalu panjang,positive
makanannya enakk,neutral
tempat nyaman dan bersih makanan pas sesuai dengan porsi gacoan pada umumnya,positive
harga terjangkau bumbu ayam crispynya sambal bawangnya pedasnya pas cuma nasi nya saja kurang banyak dan ayamnya agak kecil sesuai dengan harganya,neutral
mie gacoannya enakk tempatnya bersih pegawainya ramah,positive
anak anak saya suka makan mie pedas disini harga terjangkau dimsum dan aneka es juga enak sesuai harga,neutral
kakak nya rama makanannya terjangkau buat pelajar,neutral
tulisan dilarang merokok yang ada di buka dapur mending dicabut saja deh ada tulisan dilarang merokok tapi ojol nya masih pada ngerokok kesitu mana asap rokoknya kemana,negative
ac nya enggak dingin alhasil panas banget enggak ada bedanya atas sama bawa,negative
resto yang proses pelayanan penyajian lama baik pesan luring maupun online makanan,negative
cepat murah ramah dan terbaik,positive
rasanya enak pas dan sambelnya mantap,neutral
tempat enak buat nongkrong jos jis,neutral
enak banget promonya sampai mati keknyaa rekomendasi sekali buat anak kuliahan apalagi tempatnya strategis juga,neutral
paling suka mawar sayap lumayan cepat penyajiannya pegawainya agak kurang sabar tisu wastafel habis tapi enggak apalah kan memang biasanya ramai,negative
memang iya lain cabang kualitasnya beda banget kayak begini kasir salah masukan minuman malah jadi dimsum pas disebutin ulang bilang es jeruk padahal di nota ternyata enggak ada es jeruk dan bertambah udang keju salah kami juga enggak cek lagi pas sebelum bayar pas dikonfirm lagi ke kasir malah enggak bisa di ganti atau dicancel enggak ada ucapan maaf dari kasir juga padahal yang bilang es jeruk ada orang masih saja masukan dimsum keju pas mie nya datang aku pesan hompimpa tingkat tapi cabenya enggak sampai se sendok memang iya dikurangi karena harga cabe tinggi buat sebesar waralaba sangat disayangkan okelah dikurangi tapi ini kurang banget untuk lvl perlu hubungi akun ig pusatnya,negative
makanannya enak pelayanan cepat,positive
tempatnya enak tapi kenapa menunya tuh ada yang selalu belum siap contohnya hijau teh kali ke sini selalu belum siap karyawannya juga ya kalo diajak mengomong tuh lihat lawan bicaranya bukan sibuk sama hpnya senyum dikit mbak kalo lagi banyak masalah enggak usah di bawa ke tempat kerja semoga diperbaiki terimakasih,negative
tempat makan enak dan murah yang ada di malang kota cocok buat mahasiswa,neutral
makanan khas banyuwangi yang menurut saya enak sayang sekali tempat terbatas terlebih lagi ada sekumpulan pengamen yang menggunakan sebagian tempat makan untuk melakukan aksi besok lagi kalau mengamen mending diluar deh,negative
lumayan layanan cepat dan hemat di kantong pelayanan juga memuaskan silakan mencoba,positive
mantap sambel nya joss,neutral
dulu awal awal ke kopi studio sigura gura wifinya bermasalah banget lambat bahkan enggak menyambung internet kemarin ini wifi sudah jos ngebut untuk tempat relatif ramai di jam malam banyak orang nugas memang cocok si buat nugas colokan aman brodie tapi meja yang buat berdua hadap an agak kekecilan muat laptop tapi ngepress wkwkwk ada musola juga tapi permukaannya enggak rata jadi kalo sujud jidat agak sakit hehe kamar mandi aman ada biji ac lumayan adem juga lumayan nyaman lah intinya,negative
antri secara mandiri ambil mangkok sayur gorengan sendok garpu bakso ke kasir pesan minum di kasir juga bisa pembayaran qris atau tunai,neutral
langganan tiap laper tengah malam ayam hokagee si paling mantap tapi pasti menunggu lamaa cuman worthit si,negative
lamaa pelayanan tidak ramah berantakan tidak antrian yang baru didulukan,negative
pernah makan ini mie nya datang luamaa ternyata kakaknya lupa dan nota diambil kakaknya waktu pengambilan dimsum minum tapi selebihnya oke saja karena lebih sering ke gacoan sukun yang terdekat dari kepanjen,negative
terlalu lama,negative
tempatnya enak buat ngerjain tugas ataupun hangout sama teman,positive
enak bebas isi ulang mie sayur dan tetelan mantap,positive
tempatnya nyaman buat nongki rasa kopinya enak cirengnya juga mantap,neutral
untuk harga terjangkau cocok buat yang suka ngopi dengan pilihan makanan ringan yang banyk,neutral
kalo enggak bisa ngulek blender saja atau sambelnya saya ulek sendiri saja halus beli yang ada sambel bawangnya tapi dikasih yang masih ada bawang putih utuh apa mungkin sekalian jadi lalapan terima kasih,neutral
pelayanan nya baik ramah nyaman banget buat nongkrong makanan nya juga enak murah anzayy,positive
tutup jam berapa sih kok saya selesai makan jam masih ingin ngobrol dulu malah disuruh pindah sama membersihkan servisnya wkwk jelas jelas itu mas nya lihat masih ngobrol malah diusir mbak bisa pindah enggak mau saya bersihkan wkwk enggak bilang maaf meminta tolong atau kalau semisal sudah tutup bisa bilang kak maaf restonya sudah tutup lah ini ngusir kocak banget enggak pernah ya makan diresto lain terus disuruh pindah kayak begini ksl banget,negative
trmpatnya nyaman banget kalo soal pancongnya jangan ditanya lagi mantap banget,positive
menurutku tempatnya nyaman banget karena beda dari mie gacoan yang lain buat harganya juga terjangkau pelayanannya cepat cocok banget buat mahasiswa yang mau makan enak tapi ramah dikantong,positive
tempat ini selalu ramai pelanggan terutama dari kalangan anak muda restoran bakso ini menyajikan menu kekinian seperti bakso keju tempatnya bagus elegan dan bebas wifi soal rasa lumayan enak dan itu soal selera masing masing pembayaran bisa tunai debit atau yang enggak mau ribet bisa pakai ovo juga untuk yang suka ngopi kekinian ditempat ini juga bisa alas studio kopi tapi pembayarannya terpisah,positive
nyaman tempat buat masyarakat sekitar terutama mahasiswa kalau mau nongkrong atau ngopi santai sambil nugas saja soalnya disini tempat nya pw banget dan soal harga termasuk terjangkau,positive
nasinya keras tapi sambalnya nampol banget pedasnya gemeteran sampai ke rongga pastinya karena lombok sret dan terasi khas yang membuat sambal jadi semantap ini enak lezat dan gurih malas berkunjung lagi apabila ada kesempatan ke banyuwangi karena nasinya keraskeras mungkin beras murah ya,neutral
bintang karena wc lt nya enggak ada centong nya kudacukey bagaimana mau cebok kampang,negative
lumayan enak murah dan cukup kenyang,neutral
tempatnya nyaman pelayanannya juga cepat kopi jam yang bisa banget buat nugas sejauh ini semua menunya enak dan murah,positive
makanan enggak enak basi bau harganya mahal tapi enggak enak kalau enggak niat jualan tutup saja onlinenya merugikan orang lain menunggu lama makanan tidak siap jangan jualan kalau tidak niat semua grupnya anak baik korps jangan dibeli enggak enak sama seperti ayam nelongso parah lama semua pelayanannya lelet semua,negative
suka banget dengan gacoan karena di kalbar belum ada datang segera katanya tapi baru pertama kali makan lvl disini baliknya keledai banget padahal enggak pernah nya keledai setelah makan gacoan udang rambutan dan udang kejunya juga kopong tengahnya padahal sering makan di cabang lain selalu padatt isinyaa dan idk why disini begitu,negative
kemarin malam jam kesini hampir tutup selalu mampir kalau pas lewat,neutral
pengalaman saya selama di kopi studio blimbing yaitu untuk tempatnya nyaman pelayanannya ramah harga terjangkau asik buat kumpul bareng kawan pacar,positive
aslii ramah banget pelayanannya apalagi mbak kasir yang berkerudung saya kesana jam malam karena saya baru pertama kali mencoba geprek kak mawar mbak nya naik menjual dengan baik sehingga saya jadi tidak kebingungan untuk memilih menu terima kasih mbak dan rasanya enggak kalah sama yang lain mantap,positive
salah satu nasi tempong yang ramai di daerah banyuwangi kota sepanjang makan di sini enggak berhenti orang orang yang pesan bungkus satu orang bisa bungkus lebih dari porsi lauknya banyak pilihan tadi pesan porsi nasi dengan lauk ayam goreng tambahan ati ampela dan telur dadar sama minum dengan total ribu enak murah kenyang,neutral
tempatnya nyaman makanan murah pelayanan ramah,positive
enak tempatnya juga enak buat kumpul pelayanannya cepat makanannya juga cepat datang,positive
kesana waktu jam makan siang tapi gorengannya enggak ada entah belum siap habis terus untuk sambel rasanya kurang agak kecut kayak ada campur saos jadi merusak cita rasa kuahnya lebih lebih baik pakai cabe segar saja ada lantai kipasnya mati jadi syumuk sekali untuk baksonya sendiri sudah oke,negative
kapan itu beli sudah menunggu menit makananku enggak di antar pas aku tanya katanya bentar sampai sejam belum di anter juga aku tanya lagi katanya bentar ternyta mieku notanya kena minyak enggak kelihatan nomor mejanya terus aku ambil sendiri aku judesin mas nya dan karena deh enggak suasana enggak aku makan mie nya malas banget kalo harus menunggu kayak begitu,negative
enak mantap,neutral
tempat yang cocok buat nugas,neutral
pelayanan oke dan tempat nyaman banget strategiss juga,positive
mie nya enak cuman gorengnya sekarang kayak tepung saja dulu penuh ayam tempat nya nyaman,positive
tempat luas cocok buat nugas,neutral
mencoba nasi tempong dari daerah asalnya untuk rasa semua kombinasi yang ada di piring enak harus coba ayam dan telur dadarnya dicampur dengan sambalnya yanb pedas mantap makan sampai keringetan cuma yang saya kurang suka adalah perkedelnya mungkin bukan selera saja tapi untuk yang lainnya enak untuk harga jangan ditanya sangat murah hanya saja antrian memesannya tidak jelas bisa saling menyelak karena ramai sekali saya datang sudah agak malam sekitar jam malam dan sudah kehabisan udang mungkin karena saking ramainya,negative
pegawainya becanda mulu jadi lama ketus lagi kasirnya sopanan dikitlah,negative
antri cuma orang hampir sejam apa lagi karyawannya yang orang timur itu keluar masuk dapur nyicipi makanan di dapur padahal di dapur sampai orang cuma leletnya meminta ampun,negative
mengenai tempat lumayan enak karena pas ksana pas sepi cuma kalau bua ramai agak kesulitan pas tempatny ramai karena rata rata sudah terserting untuk sampai orang pelayanannya bagus dan cepat jadi lumayan buat sama sama,positive
makanan nya enak segar,neutral
pelayanan ramah makanan cukup cepat tidak menunggu lama suasananya enak sejuk banyak tempat duduk,positive
lama banget banget datengnya pesenanya dan enggak jelas juga kita harus cari cari meja dulu sendiri pesan lewat barcode terus juga ambil sendiri pokoknya pelayanannya enggak banget,negative
harganya sangat terjangkau dan enak juga makanannya,neutral
tempat parkirnya luas kebersihannya terjaga ruang indoor dan outdoor yang sangat nyaman pegawainya juga ramah ramah rekomendasi banget,positive
geprek nya enak banget cumaa pelayanan pegawainya yang kurang apalagi kalo kita tanya yang kita enggak tahu malah kita yang di julid ini makanan enak jadi gaenak karena enggak nyaman sama pegawainyaa,negative
tempat luas makanan enak cocok buat nugas,neutral
tempatnyaa keren banget nyaman buat mengapai saja harga nya juga murah meriah cocok buat mahasiswa sambel nya itu anda jossw banget,positive
enggak siap kalo pas rame karyawan kurang ramah senyum,negative
makanan enak dan murah sedikit saran mushola lebih diperhatikan disediakan keset agar sejadahnya tidak basah dan mukenanya mungkin bisa dicuci rutin,negative
di es batu ada rambut enggak ada reffill nasi,negative
pelayanannya parah lama banget,negative
pedesnya mak nyuss,neutral
minumannya pas enak makanannya juga enak ccoocookk deh,neutral
saya sudah sering datang ke sini pelayanannya oke tempat nyaman untuk sendiri maupun bareng dengan teman teman gacoannya enakk terbaik,neutral
pelayanan seperti biasanya cepat akan tetapi kali ini saat pesannya ambil jauh makanannya beberapa bagian ngegumpal tidak kena bumbu dan bahkan kurang matang dalam mienya mungkin kali ini lagi ramai banget tapi berikutnya waktu meskipun ramai selain hanya cepat juga kualitas tetap harus dijaga mohon maaf terima kasih,positive
langganan deh pokoknyaa,neutral
tempatnyaa enak nyaman cocok buat nugass dan tak apa apa sama teman teman terbaik pokoknyaa,neutral
pelayanan buruk ruwet lemot pesan bungkus jam enggak mari mari enggak niat kerjo orah katene tuku maneh ndek kono,negative
malam hari saya pesan ayam geprek setelah itu belum langsung pulang ke kos karena masih beli nasi goreng dan nunggunya lama banget dan setelah sampai kos baru saya buka ternyata yang satu tidak ada ayamnya hanya sambal dan tahu saja kemudian saya langsung balik lagi kesana untuk konfirmasi tapi mbaknya kayak enggak percaya padahal memang benar benar enggak ada ayamnya dan saya enggak bohong tapi tetap ditambahin ayam kok sama mbaknya mungkin mbaknya enggak percaya karena saya belinya sudah lama tapi kok baru konfirmasi ya wajar sih perlakuan mbaknya pas waktu awal beli senyum manis tapi setelah kedua kali saya kesana ekspresinya jadi beda senyum sih tapi kayak sinis begitu kalau ada cctv nya mungkin bisa dilihat mbaknya memasukkan ayamnya atau enggak positif berpikir saja sih mungkin mbaknya lagi capek,negative
ayam kotanya favorit dimsummya tadi pertama coba lumayan sih rasanya,neutral
mkanannya lumayan lah harga pas dikantong tempatnya sederhana antriannya lumyan panjang juga karyawannya enggak sabaran atau mungkin karena antrinya ya saran sih harusnya sedikit sabar lah lumyan lah,negative
sering banget mampir buat sekedar beli minum enak banget mana murah lagi,neutral
tempatnya nyuamann pelayanan ramahh muantapp,positive
makanan nya enak dan juga harga untuk anak kos sangat bersahabat,neutral
makanan enak sangat cepat sudah bolak balik ke sini apalagi pegawai cso mbak ruli luvv ramah sekali,positive
tempatnya nyaman banget apalagi buat nugass minumannya juga murahh banget dan enak banget pancongnyaa juga enak banget sukakk banget deh,positive
tempat bersih,neutral
tukang parkirnya tidak bertanggung jawab sudah terima uang parkir langsung pergi begitu saja sampai pas mundur motor saya di tabrak orang dia cuma diam saja,negative
selalu bisa bikin suasana oke banget,positive
tempatnya nyaman banget ayamnya renyah cocok untuk makan siang kalau menurut saya dan harganya kantong mahasiswa terima kasih saya bukan promosi,positive
menu enggak konsisten ada di daftar menu tapi dipesan enggak ada pelayan enggak ramah tehnya pakai th instan pahit enggak enak pesan udara mineral enggak bisa makan ini enggak disediain nampan jadi pelanggan harus bolak balik sendiri enggak ada tahu sambal bawangnya enggak enak bau langu bawang terasa banget pelayanan jauh menurun dari kak ros yang lama,negative
enak banget buat nongkrong ataupun ngerjain tugas mantap kopi studio,positive
sudah beberapa kali beli disini selalu enggak sesuai apa memang sop nya kalau meminta kurang dari es ditambah udara cabang lain kalau permintaan kurang dari es sesuai permintaan enggak di tambah udara biar banyak nya sama,negative
ayam e lama banget,neutral
paling suka tempatnya nyaman dan makanannya okee baik tugas,positive
patut jadi idola,neutral
suasana nyaman bersih cocok untuk nugas untuk kentang baladonya enak dan untuk minumannya enaknya pas,positive
konsep warung bakso yang diupgrade kekinian tempatnya di depan jalan utama strategis untuk rasa standar bakso umumnya belum nemu yang buat wow begitu tapi okelah enggak sampai mengecewakan soal harga hiks terlalu di atas rata rata tapi me tapi kebersihan layanan umum kayak toilet sama mushola sudah mantap tersedia outdoor kursi sama eksklusif grup kursi di dua lantai eh ada satu spot lantai tiga juga di terusan lantai dua bagus kali ya kalo malam kalo siang panas yaiyala wifinya kencang banget apa karena pas kesitu masih sepi parkiran nya sempit standar nya soekarno hatta lah keseluruhan pas ada paket mahasiswa tambah promo juga,positive
baksonya enak banget ngaldu cocok diharga mahasiswa,neutral
lokasi strategis ruangan enak menu lengkap harga terjangkau pelayanan baik bisa untuk grup untuk individu juga bagus,positive
pelayanan lama keburu lapar,negative
baksonya enak berdaging lebih baik lagi kalau kondimen saos disediakan setiap meja dan disediakan nampan biar enggak kepanasan bawa mangkok kalo mau makan diatas,negative
enak dan murah tempat nyaman pelayanan lumayan cepat,positive
